descriptions,id,items,name
Has a count in the bag,1,master-ball,countable
Has a count in the bag,1,ultra-ball,countable
Has a count in the bag,1,great-ball,countable
Has a count in the bag,1,poke-ball,countable
Has a count in the bag,1,safari-ball,countable
Has a count in the bag,1,net-ball,countable
Has a count in the bag,1,dive-ball,countable
Has a count in the bag,1,nest-ball,countable
Has a count in the bag,1,repeat-ball,countable
Has a count in the bag,1,timer-ball,countable
Has a count in the bag,1,luxury-ball,countable
Has a count in the bag,1,premier-ball,countable
Has a count in the bag,1,dusk-ball,countable
Has a count in the bag,1,heal-ball,countable
Has a count in the bag,1,quick-ball,countable
Has a count in the bag,1,cherish-ball,countable
Has a count in the bag,1,potion,countable
Has a count in the bag,1,antidote,countable
Has a count in the bag,1,burn-heal,countable
Has a count in the bag,1,ice-heal,countable
Has a count in the bag,1,awakening,countable
Has a count in the bag,1,paralyze-heal,countable
Has a count in the bag,1,full-restore,countable
Has a count in the bag,1,max-potion,countable
Has a count in the bag,1,hyper-potion,countable
Has a count in the bag,1,super-potion,countable
Has a count in the bag,1,full-heal,countable
Has a count in the bag,1,revive,countable
Has a count in the bag,1,max-revive,countable
Has a count in the bag,1,fresh-water,countable
Has a count in the bag,1,soda-pop,countable
Has a count in the bag,1,lemonade,countable
Has a count in the bag,1,moomoo-milk,countable
Has a count in the bag,1,energy-powder,countable
Has a count in the bag,1,energy-root,countable
Has a count in the bag,1,heal-powder,countable
Has a count in the bag,1,revival-herb,countable
Has a count in the bag,1,ether,countable
Has a count in the bag,1,max-ether,countable
Has a count in the bag,1,elixir,countable
Has a count in the bag,1,max-elixir,countable
Has a count in the bag,1,lava-cookie,countable
Has a count in the bag,1,berry-juice,countable
Has a count in the bag,1,sacred-ash,countable
Has a count in the bag,1,hp-up,countable
Has a count in the bag,1,protein,countable
Has a count in the bag,1,iron,countable
Has a count in the bag,1,carbos,countable
Has a count in the bag,1,calcium,countable
Has a count in the bag,1,rare-candy,countable
Has a count in the bag,1,pp-up,countable
